company_name,company_url_eemis,company_location_companies_page,company_country_companies_page,company_phone_companies_page,company_calendar,logo_link,license_no,start_date_company_page_DDMMYYYY,expiry_date_company_page_DDMMYYYY,company_address_company_page,company_country_company_page,company_phone_company_page,company_email_company_page,active_company,job_name_jobs_list,job_page_link,jobs_country_jobs_list,job_posted_date,job_deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date_MMDDYYYY,company_phone_jobs_page,company_address_country_job_page,active_job,job_start_date_MMDDYYYY,job_end_date_MMDDYYYY,job_salary_currency_job_page,usd_conversion,job_salary_amount_job_page,latitude_company_location_companies_page,longitude_company_location_companies_page,city_company_location_companies_page,country_company_location_companies_page,latitude_company_location_company_page,longitude_company_location_company_page,city_company_location_company_page,country_company_location_company_page,latitude_map,longitude_map,job_length_days,job_length_years
5 KMG INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/5KMGINTERNATIONALLTD_13862400,OLD KAMPALA,,+256-709-696959,"15 Apr, 2024 - 14 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1520_1702655030.jpeg,E24040010,15/4/2024,14/4/2026,"KAMPALA, UGANDA, Kampala, Uganda ",Uganda , +256-709-696959 , 5kmgint@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3148968,32.5697964,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3148968,32.5697964,,
AALAM ALTASHIRAT  RECRUITMENT,https://eemis.mglsd.go.ug/companies/AALAMALTASHIRATRECRUITMENT_26460000,https://www.google.com/maps?sca_esv=567294360&rlz=1C1CHBF_enSA824SA824&output=search&q=%D8%B9%D8%A7%D9%84%D9%85+%D8%A7%D9%84%D8%AA%D8%A7%D8%B4%D9%8A%D8%B1%D8%A7%D8%AA&source=lnms&entry=mc&sa=X&ved=2ahUKEwjXp4z4-buBAxUcUKQEHZUcAioQ0pQJegQIDBAB,,+966-568-785468,"25 Nov, 2024 - 24 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2100_1695309908.jpeg,SA24110028,25/11/2024,24/11/2026,"Riyadh, Saudi Arabia ",Saudi Arabia , +966-568-785468 , aalamaltashirat@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,,,,,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7135517,46.6752957,,
ABBA PLACEMENTS RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/ABBAPLACEMENTSRECRUITMENTAGENCYLTD_15668736,NEXT TO UGANDA SWEATERS AFTER TOTAL KAMWOKYA,,+256-760-863622,"20 Jan, 2023 - 19 Jan, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1616_1662708858.jpg,E23010018,20/1/2023,19/1/2025,"Kampala, Uganda ",Uganda , +256-760-863622 , abbaplacements@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3392209,32.5866942,Kampala Central Division,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3392209,32.5866942,,
ABDULLAH YOUSAF ALMAZROUA RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AbdullahYousafAlmazrouaRecruitmentOffice_31684824,"Riyadh ,Saudi Arabia",Saudi Arabia,+966-559-252000,"01 Aug, 2024 - 31 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2298_1721896878.jpg,SA24080002,01/8/2024,31/7/2026,"Ar Riyad, Saudi Arabia ",Saudi Arabia , +966-559-252000 , A.y.966ksa@gmail.com ,True,,,,,,,,,,,,,,,,,Saudi Arabia,False,,,,0.0,0.0,24.7135517,46.6752957,SA,Saudi Arabia,24.7135517,46.6752957,Riyadh,Saudi Arabia,24.7135517,46.6752957,,
ABS CONSULTING GROUP LIMITED,https://eemis.mglsd.go.ug/companies/ABSCONSULTINGGROUPLIMITED_33750,PILKINGTON ROAD,,+256-414-255405,"31 Jul, 2023 - 30 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_75_1686214474.jpg,E23070023,31/7/2023,30/7/2025,"Kampala, Uganda ",Uganda , +256-414-255405 , absconsultinggroup9@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3141197,32.5822945,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3141197,32.5822945,,
ABSHIR COMPANY LTD,https://eemis.mglsd.go.ug/companies/ABSHIRCOMPANYLTD_5964054,3443,,+256-752-224210,"02 Sep, 2024 - 01 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_997_1719315031.jpg,E24090002,02/9/2024,01/9/2026,"Kampala, Uganda ",Uganda , +256-752-224210 , abshircompanylimited@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,,,,,0.3151692,32.5816313,Kampala,Uganda,0.3151692,32.5816313,,
ABSOLUTE CONNECTION INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/ABSOLUTECONNECTIONINTERNATIONALLTD_875544,"NABULAGALA ROAD ,KAYIWA ZONE",KAYIWA ZONE,+256753210986,"16 Aug, 2024 - 15 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_382_1649834475.jpeg,E24080023,16/8/2024,15/8/2026,"71644 KAMPALA UGANDA, Kampala, Uganda ",Uganda , +256753210986 , absoluteconnectionint@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3237652,32.5532626,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3237652,32.5532626,,
ABSOLUTE LABOUR INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/ABSOLUTELABOURINTERNATIONALLTD_457056,"Kisugu Rd, Kampala, Uganda",Uganda,+256-772-314032,"18 Jul, 2023 - 17 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_276_1684821459.jpeg,E23070012,18/7/2023,17/7/2025,"Kampala, Kampala, Uganda ",Uganda , +256-772-314032 , absolutelabour@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.3068451,32.6108596,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.3068451,32.6108596,,
ABUU SHAGGAALA COMPANY LIMITED,https://eemis.mglsd.go.ug/companies/ABUUSHAGGAALACOMPANYLIMITED_5056344,"P.O.BOX 111253, Wakiso",Wakiso,+256-704-110429,"08 Sep, 2022 - 14 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_918_1653326280.jpg,E22090028,08/9/2022,14/2/2025,"Wakiso, Uganda ",Uganda , +256-704-110429 , abushaggalacoltd21@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.398281,32.4797444,Central Region,Uganda,0.398281,32.4797444,Wakiso,Uganda,0.398281,32.4797444,,
ABYAN INTERNATIONAL (U) LTD,https://eemis.mglsd.go.ug/companies/ABYANINTERNATIONALULTD_3393024,"108118,KONGE MAKINDYE, KAMPALA",KAMPALA,0709468979,"31 May, 2024 - 30 May, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_752_1710753666.jpg,E24050032,31/5/2024,30/5/2026,"KAMPALA, Kampala, Uganda ",Uganda , 0709468979 , abyaninternational256@gmail.com ,True,,,,,,,,,,,,,,,,,Uganda,False,,,,0.0,0.0,0.2818409,32.5845733,Kampala,Uganda,0.3151692,32.5816313,Kampala,Uganda,0.2818409,32.5845733,,
