company_name,company_link,company_location_companiespage,company_phone,company_calendar,logo_link,company_name_copg,Licence No :,Start Date :,Expiry Date :,Address :,Phone :,Email :
FAITH RECRUITMENT AGENCY LIMITED,https://eemis.mglsd.go.ug/companies/FaithRecruitmentAgencyLimited_35516934,"Tindifa valley road ,",+256-769-936607,"Nov 06, 2025 - Nov 05, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2433_1755619747.png,FAITH RECRUITMENT AGENCY LIMITED,E25110007,06 November 2025,05 November 2027,"(' P.O Box 183848', 'Kampala, Uganda ')", +256-769-936607 , mariamamit2606@gmail.com 
ASAKAS (U) LIMITED,https://eemis.mglsd.go.ug/companies/ASAKASULIMITED_34819686,PLOT 12A MUTUBA GARDEN,+256-788-387155,"Jul 04, 2025 - Jul 03, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2409_1744813965.jpeg,ASAKAS (U) LIMITED,E25070005,04 July 2025,03 July 2027,"(' P.O Box 1214 Masaka', 'Masaka, Uganda ')", +256-788-387155 , info@asakassecurity.com 
NEBO RECRUITMENT-SMC LIMITED,https://eemis.mglsd.go.ug/companies/NEBORECRUITMENT-SMCLIMITED_32266566,"KAGUGUBE, MAKERERE KIVULU 1",+256-771-829429,"Feb 11, 2025 - Feb 10, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2319_1732787960.jpg,NEBO RECRUITMENT-SMC LIMITED,E25020003,11 February 2025,10 February 2027,"(' P.O BOX 170848', 'Kampala, Uganda ')", +256-771-829429 , neborecruitmentsmcltd@gmail.com 
KAMULI RECRUITMENT AGENCY -SMC LIMITED,https://eemis.mglsd.go.ug/companies/KAMULIRECRUITMENTAGENCY-SMCLIMITED_31767606,ZANA,+256-701-272328,"May 12, 2025 - May 11, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2301_1739819736.jpeg,KAMULI RECRUITMENT AGENCY -SMC LIMITED,E25050008,12 May 2025,11 May 2027,"(' P.O.BOX 162439, KAMPALA. UGANDA', 'Wakiso, Uganda ')", +256-701-272328 , kamulirecruitmentagency@gmail.com 
ROBINSON RECRUITMENT SOLUTIONS,https://eemis.mglsd.go.ug/companies/RobinsonRecruitmentSolutions_31327350,"Plot 135,Kira Road",+256-776-410559,"May 16, 2025 - May 15, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2285_1730128827.png,ROBINSON RECRUITMENT SOLUTIONS,E25050015,16 May 2025,15 May 2027,"(' P.O Box 145472', 'Kampala, Uganda ')", +256-776-410559 , info@robinson-recruitment.com 
APCON SECURITY SERVICES  LIMITED,https://eemis.mglsd.go.ug/companies/APCONSECURITYSERVICESLIMITED_31053750,"P.O.BOX 111220  KAMPALA, UGANDA",+256-782-888800,"Aug 16, 2024 - Aug 15, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2275_1720431363.jpeg,APCON SECURITY SERVICES  LIMITED,E24080024,16 August 2024,15 August 2026,"(' P.O.BOX 111220, KAMPALA, UGANDA', 'Wakiso, Uganda ')", +256-782-888800 , apconera@gmail.com 
APEX INTERNATIONAL RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/APEXINTERNATIONALRECRUITMENTAGENCYLTD_30808536,PLOT 39 KYAMBOGO MEGHA COMPLEX,+256-707-830410,"Sep 23, 2024 - Sep 22, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2266_1718883579.jpg,APEX INTERNATIONAL RECRUITMENT AGENCY LTD,E24090022,23 September 2024,22 September 2026,"(' 157172 KAMPALA', 'Kampala, Uganda ')", +256-707-830410 , admin@apexiraltd.com 
STAR WORLD RECRUITERS LIMITED,https://eemis.mglsd.go.ug/companies/STARWORLDRECRUITERSLIMITED_30348006,NAJJANANKUMBI ENTEBBE ROAD,+256-783-515983,"Jul 17, 2025 - Jul 16, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2249_1744092172.jpeg,STAR WORLD RECRUITERS LIMITED,E25070013,17 July 2025,16 July 2027,"(' P.O.BOX 159642, KAMPALA', 'Kampala, Uganda ')", +256-783-515983 , worldrecruiter625@gmail.com 
HATARI SECURITY SERVICES LIMITED,https://eemis.mglsd.go.ug/companies/HATARISECURITYSERVICESLIMITED_30294054,145327  KAMPALA,+256787287798,"Apr 09, 2025 - Apr 08, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_2247_1733172435.jpg,HATARI SECURITY SERVICES LIMITED,E25040003,09 April 2025,08 April 2027,"(' P. O. BOX 145327 Kampala, Uganda', 'Kampala, Uganda ')", +256787287798 , kwiringirajb@yahoo.com 
ALKHALEEJEA MANPOWER CO. SMC LIMITED,https://eemis.mglsd.go.ug/companies/ALKHALEEJEAMANPOWERCOSMCLIMITED_29783904,"RUBAGA ROAD, MENGO",+256-778-712662,"Sep 23, 2024 - Sep 22, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2228_1720771598.jpg,ALKHALEEJEA MANPOWER CO. SMC LIMITED,E24090029,23 September 2024,22 September 2026,"(' P.O Box ', 'Kampala, Uganda ')", +256-778-712662 , alkhaleejeacosmc@gmail.com 
