company_name,company_link,company_location_companiespage,company_phone,company_calendar,logo_link,company_name_copg,Licence No :,Start Date :,Expiry Date :,Address :,Phone :,Email :,active_company
5 KMG INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/5KMGINTERNATIONALLTD_13862400,OLD KAMPALA,+256-709-696959,"15 Apr, 2024 - 14 Apr, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_1520_1702655030.jpeg,5 KMG INTERNATIONAL LTD,E24040010,15 April 2024,14 April 2026,"(' P.O.BOX 125574, KAMPALA, UGANDA', 'Kampala, Uganda ')", +256-709-696959 , 5kmgint@gmail.com ,True
AALAM ALTASHIRAT  RECRUITMENT,https://eemis.mglsd.go.ug/companies/AALAMALTASHIRATRECRUITMENT_26460000,https://www.google.com/maps?sca_esv=567294360&rlz=1C1CHBF_enSA824SA824&output=search&q=%D8%B9%D8%A7%D9%84%D9%85+%D8%A7%D9%84%D8%AA%D8%A7%D8%B4%D9%8A%D8%B1%D8%A7%D8%AA&source=lnms&entry=mc&sa=X&ved=2ahUKEwjXp4z4-buBAxUcUKQEHZUcAioQ0pQJegQIDBAB,+966-568-785468,"25 Nov, 2024 - 24 Nov, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2100_1695309908.jpeg,AALAM ALTASHIRAT  RECRUITMENT,SA24110028,25 November 2024,24 November 2026,"(' P.O Box ', 'Riyadh, Saudi Arabia ')", +966-568-785468 , aalamaltashirat@gmail.com ,True
ABBA PLACEMENTS RECRUITMENT AGENCY LTD,https://eemis.mglsd.go.ug/companies/ABBAPLACEMENTSRECRUITMENTAGENCYLTD_15668736,NEXT TO UGANDA SWEATERS AFTER TOTAL KAMWOKYA,+256-760-863622,"20 Jan, 2023 - 19 Jan, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_1616_1662708858.jpg,ABBA PLACEMENTS RECRUITMENT AGENCY LTD,E23010018,20 January 2023,19 January 2025,"(' 21466 KAMPALA', 'Kampala, Uganda ')", +256-760-863622 , abbaplacements@gmail.com ,False
ABDULLAH YOUSAF ALMAZROUA RECRUITMENT OFFICE,https://eemis.mglsd.go.ug/companies/AbdullahYousafAlmazrouaRecruitmentOffice_31684824,"Riyadh ,Saudi Arabia",+966-559-252000,"01 Aug, 2024 - 31 Jul, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_2298_1721896878.jpg,ABDULLAH YOUSAF ALMAZROUA RECRUITMENT OFFICE,SA24080002,01 August 2024,31 July 2026,"(' P.O Box ', 'Ar Riyad, Saudi Arabia ')", +966-559-252000 , A.y.966ksa@gmail.com ,True
ABS CONSULTING GROUP LIMITED,https://eemis.mglsd.go.ug/companies/ABSCONSULTINGGROUPLIMITED_33750,PILKINGTON ROAD,+256-414-255405,"31 Jul, 2023 - 30 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_75_1686214474.jpg,ABS CONSULTING GROUP LIMITED,E23070023,31 July 2023,30 July 2025,"(' P.O Box 29526', 'Kampala, Uganda ')", +256-414-255405 , absconsultinggroup9@gmail.com ,True
ABSHIR COMPANY LTD,https://eemis.mglsd.go.ug/companies/ABSHIRCOMPANYLTD_5964054,3443,+256-752-224210,"02 Sep, 2024 - 01 Sep, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_997_1719315031.jpg,ABSHIR COMPANY LTD,E24090002,02 September 2024,01 September 2026,"(' 30515 KAMPALA', 'Kampala, Uganda ')", +256-752-224210 , abshircompanylimited@gmail.com ,True
ABSOLUTE CONNECTION INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/ABSOLUTECONNECTIONINTERNATIONALLTD_875544,"NABULAGALA ROAD ,KAYIWA ZONE",+256753210986,"16 Aug, 2024 - 15 Aug, 2026",https://eemis.mglsd.go.ug/assets/images/brands/comp_382_1649834475.jpeg,ABSOLUTE CONNECTION INTERNATIONAL LTD,E24080023,16 August 2024,15 August 2026,"(' P.O.BOX , 71644 KAMPALA UGANDA', 'Kampala, Uganda ')", +256753210986 , absoluteconnectionint@gmail.com ,True
ABSOLUTE LABOUR INTERNATIONAL LTD,https://eemis.mglsd.go.ug/companies/ABSOLUTELABOURINTERNATIONALLTD_457056,"Kisugu Rd, Kampala, Uganda",+256-772-314032,"18 Jul, 2023 - 17 Jul, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_276_1684821459.jpeg,ABSOLUTE LABOUR INTERNATIONAL LTD,E23070012,18 July 2023,17 July 2025,"(' 33454, Kampala', 'Kampala, Uganda ')", +256-772-314032 , absolutelabour@gmail.com ,True
ABUU SHAGGAALA COMPANY LIMITED,https://eemis.mglsd.go.ug/companies/ABUUSHAGGAALACOMPANYLIMITED_5056344,"P.O.BOX 111253, Wakiso",+256-704-110429,"08 Sep, 2022 - 14 Feb, 2025",https://eemis.mglsd.go.ug/assets/images/brands/comp_918_1653326280.jpg,ABUU SHAGGAALA COMPANY LIMITED,E22090028,08 September 2022,14 February 2025,"(' P.O Box 111253', 'Wakiso, Uganda ')", +256-704-110429 , abushaggalacoltd21@gmail.com ,False
ABUU SHAGGAALA COMPANY LIMITED,https://eemis.mglsd.go.ug/companies/ABUUSHAGGAALACOMPANYLIMITED_5056344,"P.O.BOX 111253, Wakiso",+256-704-110429,"24 Jan, 2025 - 23 Jan, 2027",https://eemis.mglsd.go.ug/assets/images/brands/comp_918_1653326280.jpg,ABUU SHAGGAALA COMPANY LIMITED,E25010013,24 January 2025,23 January 2027,"(' P.O Box 111253', 'Wakiso, Uganda ')", +256-704-110429 , abushaggalacoltd21@gmail.com ,True
