job_name_jobs_list,job_company_jobs_list,job_page_link,jobs_country_jobs_list,posted_date,deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_time_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date,company_phone,company_address
Static Guard/Security,Enjaazi Limited,./jobs?id=6570,Uganda,"Posted : 06 Dec, 2024","Deadline : 01 Jan, 2025",USD 1350,https://eemis.mglsd.go.ug/jobs?id=6570,Static Guard/Security,Enjaazi Limited,Iraq,"Dec 06, 2024 - Dec 06, 2025 ",USD 1350,Security,"We are looking for dedicated and professional security guards to join our team in protecting key international diplomatic locations. The ideal candidate will have prior military experience, particularly with the UPDF, private security, and be ready to undergo thorough vetting by foreign governments","We are looking for dedicated and professional security guards to join our team in protecting key international diplomatic locations. The ideal candidate will have prior military experience, particularly with the UPDF, private security, and be ready to undergo thorough vetting by foreign governments						","06 December, 2024",+256-707-681801,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
HOUSEMAID,BRIGHT STAR CREATION INTERNATIONAL LTD,./jobs?id=6568,Uganda,"Posted : 05 Dec, 2024","Deadline : 01 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6568,HOUSEMAID,BRIGHT STAR CREATION INTERNATIONAL LTD,Saudi Arabia,"Dec 05, 2024 - Dec 05, 2026 ",SAR 900,Domestic Worker,- Responsible for keeping residences clean and tidy,- Responsible for keeping residences clean and tidy,"18 November, 2024",+256-777-914234,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
Housemaid,MAXIMUS EXPEDITIONS LTD,./jobs?id=6567,Uganda,"Posted : 02 Dec, 2024","Deadline : 01 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6567,Housemaid,MAXIMUS EXPEDITIONS LTD,Saudi Arabia,"Dec 02, 2024 - Dec 02, 2026 ",SAR 900,Domestic Worker,"Looking from our partner to provide us high quality domestic worker. Responsible about household choirs, baby sitter, and elder caring ,,,etc. Supporting Saudi family in cocking. Workers should qualify in house orientated. Preferable speaking English or Arabic. Expecting from the worker to follow employer direction and to be honest with employer.","Looking from our partner to provide us high quality domestic worker. Responsible about household choirs, baby sitter, and elder caring ,,,etc. Supporting Saudi family in cocking. Workers should qualify in house orientated. Preferable speaking English or Arabic. Expecting from the worker to follow employer direction and to be honest with employer.						","31 May, 2024",+256-709-013099,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
HOUSEMAID,KANAKAR RECRUITMENT AGENCY  LTD,./jobs?id=6566,Uganda,"Posted : 02 Dec, 2024","Deadline : 01 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6566,HOUSEMAID,KANAKAR RECRUITMENT AGENCY  LTD,Saudi Arabia,"Dec 02, 2024 - Dec 02, 2026 ",SAR 900,Domestic Worker,HOUSEMAID,HOUSEMAID						,"02 September, 2024",+256-708-040077,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
HOUSEMAID,KANAKAR RECRUITMENT AGENCY  LTD,./jobs?id=6565,Uganda,"Posted : 02 Dec, 2024","Deadline : 01 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6565,HOUSEMAID,KANAKAR RECRUITMENT AGENCY  LTD,Saudi Arabia,"Dec 02, 2024 - Dec 02, 2026 ",SAR 900,Domestic Worker,"cleaning, washing, ironing, vacuuming, taking care of children","cleaning, washing, ironing, vacuuming, taking care of children						","02 September, 2024",+256-708-040077,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
HOUSEMAID,ALUMA RECRUITMENT LTD,./jobs?id=6564,Uganda,"Posted : 05 Dec, 2024","Deadline : 01 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6564,HOUSEMAID,ALUMA RECRUITMENT LTD,Saudi Arabia,"Dec 05, 2024 - Dec 05, 2026 ",SAR 900,Domestic Worker,JOB ORDER,JOB ORDER						,"13 September, 2024",+256-700-724854,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
Housemaid,ALUMA RECRUITMENT LTD,./jobs?id=6563,Uganda,"Posted : 05 Dec, 2024","Deadline : 01 Jan, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6563,Housemaid,ALUMA RECRUITMENT LTD,Saudi Arabia,"Dec 05, 2024 - Dec 05, 2026 ",SAR 900,Domestic Worker,"We are looking forward on recruiting a Ugandan housemaid who is in good health and able to work. Some of the responsibilities that will be required of her are mainly the house chores. The applicant must submit her CV to the responsible recruitment agency in Uganda. She has to be 21 years and above and of which there has to be a consent from her family in regards to her travels. She will be expected to be minimum a high school graduand and able to speak proper English. She will be handling all the house responsibilities such as cleaning the house, sweeping and mopping the house, washing of utensils and laundry, taking care of the kids and guidance to the children. She will be expected to give hand in cooking. However, this will all be in the right procedures of the Ministry in Uganda. She has to go through a training before being recruited. She has to also provide a police letter of a good conduct.  She has to present a medical report of her health status for further to proceed with her recruitment.","We are looking forward on recruiting a Ugandan housemaid who is in good health and able to work. Some of the responsibilities that will be required of her are mainly the house chores. The applicant must submit her CV to the responsible recruitment agency in Uganda. She has to be 21 years and above and of which there has to be a consent from her family in regards to her travels. She will be expected to be minimum a high school graduand and able to speak proper English. She will be handling all the house responsibilities such as cleaning the house, sweeping and mopping the house, washing of utensils and laundry, taking care of the kids and guidance to the children. She will be expected to give hand in cooking. However, this will all be in the right procedures of the Ministry in Uganda. She has to go through a training before being recruited. She has to also provide a police letter of a good conduct.  She has to present a medical report of her health status for further to proceed with her recruitment.						","13 September, 2024",+256-700-724854,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
housemaid,AMENVU INTERNATIONAL LIMITED,./jobs?id=6554,Uganda,"Posted : 27 Nov, 2024","Deadline : 26 Dec, 2024",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6554,housemaid,AMENVU INTERNATIONAL LIMITED,Saudi Arabia,"Nov 27, 2024 - Nov 27, 2026 ",SAR 900,Domestic Worker,"A domestic helper is a service worker who helps out around the home. They provide families with a number of services, including: cooking, cleaning, childcare, and assistance with elderly house members. A domestic helper may also help outside of the home for a family. This can include running errands like grocery shopping or picking up needed supplies, among other things.","A domestic helper is a service worker who helps out around the home. They provide families with a number of services, including: cooking, cleaning, childcare, and assistance with elderly house members. A domestic helper may also help outside of the home for a family. This can include running errands like grocery shopping or picking up needed supplies, among other things.						","29 April, 2024",+256-782-533295,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
HouseMaid,EFADAH RECRUITMENT (U) LIMITED,./jobs?id=6553,Uganda,"Posted : 27 Nov, 2024","Deadline : 26 Dec, 2024",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6553,HouseMaid,EFADAH RECRUITMENT (U) LIMITED,Saudi Arabia,"Nov 27, 2024 - Nov 27, 2026 ",SAR 900,Domestic Worker,"We are hiring capable housemaids to work in Saudi Arabia for a contract period of 2 years Maids are professionals hired to keep homes or businesses clean from dusting and dirt. They are also called housekeepers or house cleaners. They might work for companies who are hired by private homeowners to provide cleaning services to residences or by businesses who are seeking to have offices and conference rooms cleaned. The maids also work for hotels and perform scheduled cleanings of rooms, such as replacing linens and emptying wastebaskets. Maids are often individuals who can work independently, adhere to strict schedules, and are detail-oriented time managers who are knowledgeable about using all types of cleaning implements and accessories.","We are hiring capable housemaids to work in Saudi Arabia for a contract period of 2 years Maids are professionals hired to keep homes or businesses clean from dusting and dirt. They are also called housekeepers or house cleaners. They might work for companies who are hired by private homeowners to provide cleaning services to residences or by businesses who are seeking to have offices and conference rooms cleaned. The maids also work for hotels and perform scheduled cleanings of rooms, such as replacing linens and emptying wastebaskets. Maids are often individuals who can work independently, adhere to strict schedules, and are detail-oriented time managers who are knowledgeable about using all types of cleaning implements and accessories.						","30 October, 2024",+256-700-573317,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
Almumtaz Domestic worker job order,STREPA INTERNATIONAL SERVICES LIMITED,./jobs?id=6552,Uganda,"Posted : 26 Nov, 2024","Deadline : 25 Dec, 2024",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6552,Almumtaz Domestic worker job order,STREPA INTERNATIONAL SERVICES LIMITED,Saudi Arabia,"Nov 26, 2024 - Nov 26, 2026 ",SAR 900,Domestic Worker,"The job carried out by the migrant workers in the kingdom of Saudi Arabia assigned in this category is basically house cores, taking care of children, taking care of elderly people or handicapped if available for the period of two years on a salary of 900 Saudi riyals .","The job carried out by the migrant workers in the kingdom of Saudi Arabia assigned in this category is basically house cores, taking care of children, taking care of elderly people or handicapped if available for the period of two years on a salary of 900 Saudi riyals .						","31 July, 2023",+256-772-520685,"['P O Box  5328,', 'Plot 2, Fr Seryazi Nicholas Close, Makindye,', 'Kampala,', 'Uganda.']"
