job_name_jobs_list,job_company_jobs_list,job_page_link,jobs_country_jobs_list,posted_date,deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_time_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date,company_phone
Housemaid,T & N MIRACLE AGENCIES LTD,./jobs?id=6899,Uganda,"Posted : 30 Apr, 2025","Deadline : 28 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6899,Housemaid,T & N MIRACLE AGENCIES LTD,Saudi Arabia,"Apr 30, 2025 - Apr 30, 2027 ",SAR 900,Domestic Worker,The job includes doing domestic work out of,The job includes doing domestic work out of,"18 July, 2024",+256-752-896624
House Maid,WORLD HIGH END GATE INTERNATIONAL LIMITED,./jobs?id=6896,Uganda,"Posted : 29 Apr, 2025","Deadline : 25 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6896,House Maid,WORLD HIGH END GATE INTERNATIONAL LIMITED,Saudi Arabia,"Apr 29, 2025 - Apr 29, 2027 ",SAR 900,Domestic Worker,speak English,speak English,"24 February, 2025",+256-772-189519
HOUSEMAIDS,TUSANO COMBINED UGANDA LIMITED,./jobs?id=6893,Uganda,"Posted : 28 Apr, 2025","Deadline : 25 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6893,HOUSEMAIDS,TUSANO COMBINED UGANDA LIMITED,Saudi Arabia,"Apr 28, 2025 - Apr 28, 2027 ",SAR 900,Domestic Worker,House maids needed in Saudi Arabia to work for a contract period of 2 years.,House maids needed in Saudi Arabia to work for a contract period of 2 years.,"15 April, 2025",+256-705-757401
HOUSEMAID,OSITE LOGISTICS LIMITED,./jobs?id=6892,Uganda,"Posted : 28 Apr, 2025","Deadline : 01 Dec, 2029",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6892,HOUSEMAID,OSITE LOGISTICS LIMITED,Saudi Arabia,"Apr 28, 2025 - Apr 28, 2027 ",SAR 900,Domestic Worker,"A Domestic Worker provides essential services to households, ensuring that the home runs smoothly and remains in good condition. Their duties can vary depending on the employer's needs but generally include cleaning, laundry, cooking, and caring for children or elderly family members. They may also perform administrative tasks or run errands. The role demands trustworthiness, attention to detail, and the ability to work independently or under minimal supervision.","A Domestic Worker provides essential services to households, ensuring that the home runs smoothly and remains in good condition. Their duties can vary depending on the employer's needs but generally include cleaning, laundry, cooking, and caring for children or elderly family members. They may also perform administrative tasks or run errands. The role demands trustworthiness, attention to detail, and the ability to work independently or under minimal supervision.						","15 April, 2024",+256-774-920307
housemaid,WASEL RECRUITMENT COMPANY LIMITED,./jobs?id=6890,Uganda,"Posted : 28 Apr, 2025","Deadline : 24 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6890,housemaid,WASEL RECRUITMENT COMPANY LIMITED,Saudi Arabia,"Apr 28, 2025 - Apr 28, 2027 ",SAR 900,Domestic Worker,.House maids needed in Saudi Arabia to work for a contract period of 2 years.,.House maids needed in Saudi Arabia to work for a contract period of 2 years.						,"23 August, 2024",+256-708-605032
HOUSE MAIDS,INFINITY RECRUITMENT AGENCY LTD,./jobs?id=6889,Uganda,"Posted : 25 Apr, 2025","Deadline : 24 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6889,HOUSE MAIDS,INFINITY RECRUITMENT AGENCY LTD,Saudi Arabia,"Apr 25, 2025 - Apr 25, 2027 ",SAR 900,Domestic Worker,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years,We are hiring capable personnel to work as housemaids in Saudi Arabia for a contract period of 2 years						,"02 February, 2024",+256-751-403557
HOUSE MAIDS,HBM RECRUITMENT AGENCY UGANDA LIMITED,./jobs?id=6877,Uganda,"Posted : 25 Apr, 2025","Deadline : 22 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6877,HOUSE MAIDS,HBM RECRUITMENT AGENCY UGANDA LIMITED,Saudi Arabia,"Apr 25, 2025 - Apr 25, 2027 ",SAR 900,Domestic Worker,House maids needed in Saudi Arabia to work for a contract period of 2 years.,House maids needed in Saudi Arabia to work for a contract period of 2 years.,"28 February, 2024",+256-700-941661
house maids,HBM RECRUITMENT AGENCY UGANDA LIMITED,./jobs?id=6876,Uganda,"Posted : 25 Apr, 2025","Deadline : 22 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6876,house maids,HBM RECRUITMENT AGENCY UGANDA LIMITED,Saudi Arabia,"Apr 25, 2025 - Apr 25, 2027 ",SAR 900,Domestic Worker,House maids needed in Saudi Arabia to work for a contract period of 2 years.,House maids needed in Saudi Arabia to work for a contract period of 2 years.						,"28 February, 2024",+256-700-941661
HOUSE MAIDS,Marhaba Recruitment Agency,./jobs?id=6874,Uganda,"Posted : 25 Apr, 2025","Deadline : 22 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6874,HOUSE MAIDS,Marhaba Recruitment Agency,Saudi Arabia,"Apr 25, 2025 - Apr 25, 2027 ",SAR 900,Domestic Worker,"The jobs of a domestic worker in Saudi Arabia are babysitting, cleaning, cooking, washing, and ironing. According to the agreement between the employer and employee, there will also be tutoring.","The jobs of a domestic worker in Saudi Arabia are babysitting, cleaning, cooking, washing, and ironing. According to the agreement between the employer and employee, there will also be tutoring.						","02 February, 2024",+256-783-015925
Housemaid,ALKAREB LIMITED,./jobs?id=6873,Uganda,"Posted : 25 Apr, 2025","Deadline : 22 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6873,Housemaid,ALKAREB LIMITED,Saudi Arabia,"Apr 25, 2025 - Apr 25, 2027 ",SAR 900,Domestic Worker,"A Housekeeper, or Maid, is responsible for taking care of a building’s general cleanliness to provide tidy and sanitary amenities to guests and residents. Their duties include cleaning floors, making beds and dusting surfaces throughout a home or other building.","A Housekeeper, or Maid, is responsible for taking care of a building’s general cleanliness to provide tidy and sanitary amenities to guests and residents. Their duties include cleaning floors, making beds and dusting surfaces throughout a home or other building.						","13 January, 2025",+256-782-707711
