job_name_jobs_list,company_name,job_page_link,jobs_country_jobs_list,posted_date,deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_time_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date,company_phone,active_job
BIKE DELIVERY PERSONEL,FRESH MIND INTERNATIONAL LTD,./jobs?id=6589,United Arab Emirates,"17 Dec, 2024 - 17 Dec, 2026","Deadline : 09 Jan, 2025",AED 1850,https://eemis.mglsd.go.ug/jobs?id=6589,BIKE DELIVERY PERSONEL,FRESH MIND INTERNATIONAL LTD,United Arab Emirates,"Dec 17, 2024 - Dec 17, 2026 ",AED 1850,"Transport , Logistics, Procurement","This job is for male between the age of 21 and 45. A suitable candidate must be medically fit as per the UAE Medical Standards for Migrant Workers, must have attained atleast a High School education and must have a strong command of English language (Reading and Speaking).","This job is for male between the age of 21 and 45. A suitable candidate must be medically fit as per the UAE Medical Standards for Migrant Workers, must have attained atleast a High School education and must have a strong command of English language (Reading and Speaking).","22 May, 2024",+256-783-183252,False
BIKE RIDERS,FAVOUR RECRUITMENT AGENCY LIMITED,./jobs?id=6726,Uganda,"Posted : 18 Feb, 2025","Deadline : 10 Mar, 2025",AED 2080,https://eemis.mglsd.go.ug/jobs?id=6726,BIKE RIDERS,FAVOUR RECRUITMENT AGENCY LIMITED,United Arab Emirates,"Feb 18, 2025 - Feb 18, 2027 ",AED 2080,Other,"The Selected Candidates shall be deployed to work in any of the Emirates that make up the State of United Arab Emirates. The candidates should have the ability to communicate in the English Language, i.e write, speak, read and comprehend spoken English. Our company gives opportunities for renewal of contracts at will.","The Selected Candidates shall be deployed to work in any of the Emirates that make up the State of United Arab Emirates. The candidates should have the ability to communicate in the English Language, i.e write, speak, read and comprehend spoken English. Our company gives opportunities for renewal of contracts at will.						","14 October, 2024",+256-751-362069,False
BIKE RIDERS,FAVOUR RECRUITMENT AGENCY LIMITED,./jobs?id=6726,United Arab Emirates,"18 Feb, 2025 - 18 Feb, 2027","Deadline : 10 Mar, 2025",AED 2080,https://eemis.mglsd.go.ug/jobs?id=6726,BIKE RIDERS,FAVOUR RECRUITMENT AGENCY LIMITED,United Arab Emirates,"Feb 18, 2025 - Feb 18, 2027 ",AED 2080,Other,"The Selected Candidates shall be deployed to work in any of the Emirates that make up the State of United Arab Emirates. The candidates should have the ability to communicate in the English Language, i.e write, speak, read and comprehend spoken English. Our company gives opportunities for renewal of contracts at will.","The Selected Candidates shall be deployed to work in any of the Emirates that make up the State of United Arab Emirates. The candidates should have the ability to communicate in the English Language, i.e write, speak, read and comprehend spoken English. Our company gives opportunities for renewal of contracts at will.						","14 October, 2024",+256-751-362069,False
CLEANER,KHM INTERNATIONAL CONSULTANTS LIMITED,./jobs?id=6730,Uganda,"Posted : 12 Feb, 2025","Deadline : 12 Mar, 2025",AED 1200,https://eemis.mglsd.go.ug/jobs?id=6730,CLEANER,KHM INTERNATIONAL CONSULTANTS LIMITED,United Arab Emirates,"Feb 12, 2025 - Feb 12, 2027 ",AED 1200,Other,"The Selected Candidates shall be deployed to work in any of the Emirates that make up the State of United Arab Emirates. The candidates should have the ability to communicate in the English Language, i.e. write, speak, read and comprehend spoken English. Our company gives opportunities for renewal of contracts at will, and also provide in house promotions to good performers.","The Selected Candidates shall be deployed to work in any of the Emirates that make up the State of United Arab Emirates. The candidates should have the ability to communicate in the English Language, i.e. write, speak, read and comprehend spoken English. Our company gives opportunities for renewal of contracts at will, and also provide in house promotions to good performers.						","22 March, 2024",+256-752-000777,False
CLEANER,KHM INTERNATIONAL CONSULTANTS LIMITED,./jobs?id=6730,United Arab Emirates,"12 Feb, 2025 - 12 Feb, 2027","Deadline : 12 Mar, 2025",AED 1200,https://eemis.mglsd.go.ug/jobs?id=6730,CLEANER,KHM INTERNATIONAL CONSULTANTS LIMITED,United Arab Emirates,"Feb 12, 2025 - Feb 12, 2027 ",AED 1200,Other,"The Selected Candidates shall be deployed to work in any of the Emirates that make up the State of United Arab Emirates. The candidates should have the ability to communicate in the English Language, i.e. write, speak, read and comprehend spoken English. Our company gives opportunities for renewal of contracts at will, and also provide in house promotions to good performers.","The Selected Candidates shall be deployed to work in any of the Emirates that make up the State of United Arab Emirates. The candidates should have the ability to communicate in the English Language, i.e. write, speak, read and comprehend spoken English. Our company gives opportunities for renewal of contracts at will, and also provide in house promotions to good performers.						","22 March, 2024",+256-752-000777,False
CLEANERS,EBENEZER RECRUITMENT AGENCY LTD,./jobs?id=6789,Saudi Arabia,"10 Mar, 2025 - 10 Mar, 2027","Deadline : 05 Apr, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6789,CLEANERS,EBENEZER RECRUITMENT AGENCY LTD,Saudi Arabia,"Mar 10, 2025 - Mar 10, 2027 ",SAR 1200,Other,"A cleaner is responsible for all cleaning in and around facilities like hospitals, schools and other buildings. This entails cleaning, sweeping, mopping, vaccuming, and wiping windows and doors.","A cleaner is responsible for all cleaning in and around facilities like hospitals, schools and other buildings. This entails cleaning, sweeping, mopping, vaccuming, and wiping windows and doors.						","16 August, 2024",+256756416979,True
CLEANERS,EBENEZER RECRUITMENT AGENCY LTD,./jobs?id=6789,Uganda,"Posted : 10 Mar, 2025","Deadline : 05 Apr, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6789,CLEANERS,EBENEZER RECRUITMENT AGENCY LTD,Saudi Arabia,"Mar 10, 2025 - Mar 10, 2027 ",SAR 1200,Other,"A cleaner is responsible for all cleaning in and around facilities like hospitals, schools and other buildings. This entails cleaning, sweeping, mopping, vaccuming, and wiping windows and doors.","A cleaner is responsible for all cleaning in and around facilities like hospitals, schools and other buildings. This entails cleaning, sweeping, mopping, vaccuming, and wiping windows and doors.						","16 August, 2024",+256756416979,False
CLEANERS,MOLDEN INTERNATIONAL LABOUR CONSULTANTS LTD,./jobs?id=6740,United Arab Emirates,"19 Feb, 2025 - 19 Feb, 2027","Deadline : 19 Mar, 2025",AED 1200,https://eemis.mglsd.go.ug/jobs?id=6740,CLEANERS,MOLDEN INTERNATIONAL LABOUR CONSULTANTS LTD,United Arab Emirates,"Feb 19, 2025 - Feb 19, 2027 ",AED 1200,Other,"This Job demand is for both MALES and FEMALE Cleaners. The selected candidates shall be deployed in any place within the United Arab Emirates The candidates must have good command of English Language ie can read, write, speak and also comprehend spoken English. Our company gives candidates opportunities to grow and be promoted depending on the experience they have attained while on duty.","This Job demand is for both MALES and FEMALE Cleaners. The selected candidates shall be deployed in any place within the United Arab Emirates The candidates must have good command of English Language ie can read, write, speak and also comprehend spoken English. Our company gives candidates opportunities to grow and be promoted depending on the experience they have attained while on duty.						","24 January, 2025",+2560414673718,False
Civil And Mep Labors,CREATIVE GROUP INTERNATIONAL LTD,./jobs?id=6626,Uganda,"Posted : 13 Jan, 2025","Deadline : 08 Feb, 2025",AED 1500,https://eemis.mglsd.go.ug/jobs?id=6626,Civil And Mep Labors,CREATIVE GROUP INTERNATIONAL LTD,United Arab Emirates,"Jan 13, 2025 - Jan 13, 2027 ",AED 1500,Engineering/Mechanics/Construction,*Looking for: Civil Helper (Labor)*  ,*Looking for: Civil Helper (Labor)*  ,"26 April, 2023",+256-200-923265,False
Civil And Mep Labors,CREATIVE GROUP INTERNATIONAL LTD,./jobs?id=6626,United Arab Emirates,"13 Jan, 2025 - 13 Jan, 2027","Deadline : 08 Feb, 2025",AED 1500,https://eemis.mglsd.go.ug/jobs?id=6626,Civil And Mep Labors,CREATIVE GROUP INTERNATIONAL LTD,United Arab Emirates,"Jan 13, 2025 - Jan 13, 2027 ",AED 1500,Engineering/Mechanics/Construction,*Looking for: Civil Helper (Labor)*  ,*Looking for: Civil Helper (Labor)*  ,"26 April, 2023",+256-200-923265,False
Civil And Mep Labors,GOLDEN ARM LIMITED,./jobs?id=6723,United Arab Emirates,"19 Feb, 2025 - 19 Feb, 2027","Deadline : 08 Mar, 2025",AED 1500,https://eemis.mglsd.go.ug/jobs?id=6723,Civil And Mep Labors,GOLDEN ARM LIMITED,United Arab Emirates,"Feb 19, 2025 - Feb 19, 2027 ",AED 1500,Engineering/Mechanics/Construction,Looking for: Civil Helper (Labor) ,Looking for: Civil Helper (Labor) ,"18 November, 2024",+256-752-238439,False
DOMESTIC WORKER,SAVIOURS INTERNATIONAL AGENCY LIMITED,./jobs?id=4101,Saudi Arabia,"23 Aug, 2021 - 23 Aug, 2023","Deadline : 12 Sep, 2027",SAR 900,https://eemis.mglsd.go.ug/jobs?id=4101,DOMESTIC WORKER,SAVIOURS INTERNATIONAL AGENCY LIMITED,Saudi Arabia,"Aug 23, 2021 - Aug 23, 2023 ",SAR 900,Domestic Worker,Cleaning and dusting the house.,Cleaning and dusting the house.,"23 March, 2023",+256-781-157792,False
DRIVER,STREPA INTERNATIONAL SERVICES LIMITED,./jobs?id=6787,Saudi Arabia,"10 Mar, 2025 - 10 Mar, 2027","Deadline : 05 Apr, 2025",SAR 1500,https://eemis.mglsd.go.ug/jobs?id=6787,DRIVER,STREPA INTERNATIONAL SERVICES LIMITED,Saudi Arabia,"Mar 10, 2025 - Mar 10, 2027 ",SAR 1500,Domestic Worker,1.	The first party is committed to recruit domestic workers from Uganda for the second party according to the following rules and conditions:,1.	The first party is committed to recruit domestic workers from Uganda for the second party according to the following rules and conditions:,"31 July, 2023",+256-772-520685,True
DRIVER,STREPA INTERNATIONAL SERVICES LIMITED,./jobs?id=6787,Uganda,"Posted : 10 Mar, 2025","Deadline : 05 Apr, 2025",SAR 1500,https://eemis.mglsd.go.ug/jobs?id=6787,DRIVER,STREPA INTERNATIONAL SERVICES LIMITED,Saudi Arabia,"Mar 10, 2025 - Mar 10, 2027 ",SAR 1500,Domestic Worker,1.	The first party is committed to recruit domestic workers from Uganda for the second party according to the following rules and conditions:,1.	The first party is committed to recruit domestic workers from Uganda for the second party according to the following rules and conditions:,"31 July, 2023",+256-772-520685,False
DRIVERS,EXPLORER DUBAI LTD,./jobs?id=6733,Saudi Arabia,"24 Feb, 2025 - 24 Feb, 2027","Deadline : 14 Mar, 2025",SAR 1500,https://eemis.mglsd.go.ug/jobs?id=6733,DRIVERS,EXPLORER DUBAI LTD,Saudi Arabia,"Feb 24, 2025 - Feb 24, 2027 ",SAR 1500,Other,•	Safely operate and maintain company vehicles in compliance with local and international traffic regulations.,•	Safely operate and maintain company vehicles in compliance with local and international traffic regulations.,"16 January, 2025",+256-704-022400,False
Drivers,GULF LINK INTERNATIONAL,./jobs?id=6729,Saudi Arabia,"12 Feb, 2025 - 12 Feb, 2027","Deadline : 12 Mar, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6729,Drivers,GULF LINK INTERNATIONAL,Saudi Arabia,"Feb 12, 2025 - Feb 12, 2027 ",SAR 1200,Domestic Worker,"The candidate must have a valid driver's license, excellent driving skills, and a good knowledge of traffic laws and safety regulations. In this position, the Driver will also be responsible for the upkeep and maintenance of vehicles in their care and any assigned duties.","The candidate must have a valid driver's license, excellent driving skills, and a good knowledge of traffic laws and safety regulations. In this position, the Driver will also be responsible for the upkeep and maintenance of vehicles in their care and any assigned duties.","13 September, 2024",+256-759-372297,False
